Company,TypeName,Ram,Weight,Price,Touchscreen,IPS,ppi,CPU_BRAND,HDD,SSD,GPU_BRAND,OS
Apple,Ultrabook,8,1.37,71365.2863,0,1,272.209527795122,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,47886.533800000005,0,0,153.11785938475614,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,30630.25,0,0,174.05705383053478,Intel Core i5,0,256,Intel,Other
Apple,Ultrabook,16,1.83,135169.9615,0,1,264.4763025736697,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,96077.772,0,1,272.209527795122,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,21308.0,0,0,123.83434142318256,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,113996.2019,0,1,264.4763025736697,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,61723.94900000001,0,0,153.11785938475614,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,79638.65000000001,0,0,193.9492885540245,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,41017.9,0,1,193.9492885540245,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,20983.053,0,0,123.83434142318256,Intel Core i5,500,0,Intel,Other
HP,Notebook,4,1.86,18377.6173,0,0,174.05705383053478,Intel Core i3,500,0,Intel,Other
Apple,Ultrabook,16,1.83,129977.2019,0,1,264.4763025736697,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,26576.403,0,0,174.05705383053478,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,67248.04800000001,0,1,271.5290039756342,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,80893.1585,0,1,272.209527795122,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,39686.15,0,0,174.05705383053478,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,152245.66,0,1,264.4763025736697,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,26581.730000000003,0,0,174.05705383053478,Intel Core i3,1000,0,Nvidia,Other
Dell,Ultrabook,8,1.22,52151.33,1,1,204.15714584634156,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,10222.513,0,0,166.53583846565928,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,53216.73,0,1,174.05705383053478,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,13743.660000000002,0,0,123.83434142318256,AMD Processor,500,0,AMD,Other
Dell,2 in 1 Convertible,8,1.62,43628.130000000005,1,0,204.15714584634156,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,35104.93,0,0,174.05705383053478,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,22300.9528,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,58543.73,0,0,153.11785938475614,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,42616.0,0,0,174.05705383053478,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,69144.46,0,0,174.05705383053478,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,47729.920000000006,0,0,156.9531814888059,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,13050.617300000002,0,0,174.05705383053478,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,10600.73,0,0,137.98683758583198,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,23385.53,0,0,156.9531814888059,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,99561.63,1,0,340.2619097439025,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,53163.46000000001,0,0,153.11785938475614,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,13264.23,0,0,137.98683758583198,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,19550.09,0,0,123.83434142318256,Intel Core i3,1000,0,Intel,Other
Dell,Notebook,8,2.8,52151.33,0,1,156.9531814888059,Intel Core i5,1000,128,AMD,Windows
